Категория,Русский,Сербский,Английский
Акватическая метафорика,1.950354609929078,0.0,4.819277108433735
Аксиологически позитивная репрезентация,8.865248226950355,7.03125,6.024096385542169
Античное наследие (Греция и Рим),0.8865248226950355,0.78125,7.228915662650602
Дидактика,3.368794326241135,2.734375,7.228915662650602
Криомортальная семантика,0.8865248226950355,3.90625,1.8072289156626504
Народно-поэтическая репрезентация,23.75886524822695,19.921875,24.69879518072289
Персонификация смерти,6.73758865248227,1.5625,4.216867469879518
Пространственно-переходная модель,20.56737588652482,14.84375,12.048192771084338
Религиозная репрезентация,9.397163120567376,16.40625,11.44578313253012
Семантика насильственного взаимодействия,14.00709219858156,29.296875,27.10843373493976
Соматическая репрезентация,19.50354609929078,25.0,10.843373493975903
Социально-этическая семантика,10.99290780141844,15.234375,18.67469879518072
Телесная деструкция,4.609929078014184,1.5625,4.819277108433735
Темпоральная репрезентация,8.687943262411348,8.984375,3.0120481927710845
Фаталистическая репрезентация,31.20567375886525,25.0,25.301204819277107
Хтоническая репрезентация,17.19858156028369,10.9375,10.240963855421686
